Size;Measure;Time_naive
2;0;0.010000
2;1;0.005000
2;2;0.004000
2;3;0.005000
2;4;0.005000
2;5;0.005000
2;6;0.005000
2;7;0.004000
2;8;0.001000
2;9;0.001000
12;0;0.030000
12;1;0.034000
12;2;0.032000
12;3;0.032000
12;4;0.032000
12;5;0.032000
12;6;0.031000
12;7;0.033000
12;8;0.033000
12;9;0.032000
22;0;0.168000
22;1;0.168000
22;2;0.245000
22;3;0.222000
22;4;0.266000
22;5;0.270000
22;6;0.264000
22;7;0.235000
22;8;0.262000
22;9;0.257000
32;0;0.517000
32;1;0.600000
32;2;0.576000
32;3;0.458000
32;4;0.470000
32;5;0.441000
32;6;0.454000
32;7;0.424000
32;8;0.409000
32;9;0.395000
42;0;0.935000
42;1;0.827000
42;2;1.455000
42;3;0.828000
42;4;1.012000
42;5;0.828000
42;6;0.836000
42;7;0.828000
42;8;0.828000
42;9;0.828000
52;0;1.606000
52;1;1.568000
52;2;1.569000
52;3;1.568000
52;4;1.568000
52;5;1.571000
52;6;2.000000
52;7;1.643000
52;8;1.577000
52;9;1.568000
62;0;2.700000
62;1;2.736000
62;2;2.659000
62;3;2.662000
62;4;2.802000
62;5;2.663000
62;6;2.724000
62;7;2.662000
62;8;2.661000
62;9;3.175000
72;0;4.248000
72;1;4.228000
72;2;4.162000
72;3;4.172000
72;4;4.198000
72;5;4.162000
72;6;4.163000
72;7;4.228000
72;8;5.166000
72;9;4.164000
82;0;6.510000
82;1;6.202000
82;2;6.178000
82;3;7.047000
82;4;6.196000
82;5;6.199000
82;6;6.203000
82;7;6.200000
82;8;7.121000
82;9;6.233000
92;0;8.694000
92;1;8.712000
92;2;9.475000
92;3;8.778000
92;4;9.644000
92;5;8.678000
92;6;9.484000
92;7;8.709000
92;8;8.761000
92;9;8.676000
102;0;11.960000
102;1;12.696000
102;2;12.637000
102;3;11.909000
102;4;11.911000
102;5;12.685000
102;6;12.677000
102;7;11.911000
102;8;11.962000
102;9;12.649000
112;0;16.505000
112;1;16.475000
112;2;16.457000
112;3;16.462000
112;4;16.578000
112;5;16.472000
112;6;16.590000
112;7;16.473000
112;8;16.481000
112;9;16.475000
122;0;21.314000
122;1;20.489000
122;2;21.717000
122;3;21.309000
122;4;21.229000
122;5;20.413000
122;6;21.240000
122;7;21.232000
122;8;20.455000
122;9;21.301000
132;0;26.675000
132;1;26.571000
132;2;25.847000
132;3;26.674000
132;4;26.568000
132;5;26.552000
132;6;26.782000
132;7;26.390000
132;8;26.835000
132;9;26.731000
142;0;33.246000
142;1;33.167000
142;2;33.202000
142;3;33.234000
142;4;33.211000
142;5;33.245000
142;6;33.160000
142;7;33.157000
142;8;33.205000
142;9;33.304000
152;0;40.569000
152;1;40.657000
152;2;40.569000
152;3;40.921000
152;4;40.529000
152;5;40.537000
152;6;42.069000
152;7;41.541000
152;8;39.802000
152;9;40.457000
162;0;48.473000
162;1;48.583000
162;2;48.541000
162;3;48.413000
162;4;48.510000
162;5;48.806000
162;6;48.549000
162;7;49.217000
162;8;49.188000
162;9;49.160000
172;0;59.368000
172;1;59.659000
172;2;59.823000
172;3;59.674000
172;4;59.927000
172;5;59.480000
172;6;59.299000
172;7;59.479000
172;8;59.709000
172;9;59.709000
182;0;71.172000
182;1;70.052000
182;2;70.756000
182;3;70.840000
182;4;71.284000
182;5;71.207000
182;6;71.273000
182;7;71.275000
182;8;71.394000
182;9;69.995000
192;0;92.914000
192;1;92.967000
192;2;93.098000
192;3;92.998000
192;4;92.882000
192;5;92.847000
192;6;93.435000
192;7;93.307000
192;8;93.337000
192;9;94.436000
202;0;101.873000
202;1;101.217000
202;2;102.303000
202;3;102.094000
202;4;102.042000
202;5;101.717000
202;6;101.768000
202;7;101.784000
202;8;102.273000
202;9;101.744000
212;0;117.553000
212;1;117.913000
212;2;117.406000
212;3;117.690000
212;4;117.784000
212;5;117.471000
212;6;117.808000
212;7;117.392000
212;8;117.424000
212;9;117.487000
222;0;136.603000
222;1;137.048000
222;2;136.120000
222;3;136.594000
222;4;136.525000
222;5;136.805000
222;6;137.151000
222;7;136.569000
222;8;137.110000
222;9;136.585000
232;0;154.523000
232;1;154.070000
232;2;154.572000
232;3;154.059000
232;4;155.324000
232;5;154.198000
232;6;154.521000
232;7;154.122000
232;8;154.132000
232;9;153.623000
242;0;177.133000
242;1;176.474000
242;2;176.441000
242;3;176.660000
242;4;176.462000
242;5;177.025000
242;6;177.786000
242;7;175.808000
242;8;176.629000
242;9;176.482000
252;0;199.487000
252;1;198.689000
252;2;198.615000
252;3;199.281000
252;4;198.689000
252;5;198.320000
252;6;198.825000
252;7;198.906000
252;8;199.258000
252;9;198.641000
262;0;224.786000
262;1;224.557000
262;2;225.108000
262;3;224.377000
262;4;224.201000
262;5;225.417000
262;6;226.274000
262;7;224.336000
262;8;223.870000
262;9;227.454000
272;0;263.349000
272;1;261.281000
272;2;261.402000
272;3;261.300000
272;4;262.432000
272;5;262.329000
272;6;262.118000
272;7;261.396000
272;8;261.587000
272;9;261.354000
282;0;281.626000
282;1;282.177000
282;2;282.135000
282;3;282.065000
282;4;282.184000
282;5;280.736000
282;6;280.449000
282;7;280.512000
282;8;280.480000
282;9;280.954000
292;0;312.305000
292;1;312.302000
292;2;312.288000
292;3;311.922000
292;4;312.325000
292;5;312.301000
292;6;312.372000
292;7;311.905000
292;8;312.016000
292;9;317.936000
302;0;346.240000
302;1;345.958000
302;2;348.741000
302;3;348.678000
302;4;348.149000
302;5;347.795000
302;6;347.607000
302;7;346.143000
302;8;346.542000
302;9;346.044000
312;0;379.850000
312;1;380.039000
312;2;381.314000
312;3;381.049000
312;4;381.594000
312;5;380.511000
312;6;382.281000
312;7;381.249000
312;8;381.669000
312;9;384.786000
322;0;421.377000
322;1;421.157000
322;2;419.450000
322;3;420.715000
322;4;422.753000
322;5;420.549000
322;6;419.387000
322;7;421.102000
322;8;421.431000
322;9;419.385000
332;0;462.442000
332;1;465.046000
332;2;464.544000
332;3;462.975000
332;4;464.221000
332;5;464.450000
332;6;463.942000
332;7;464.597000
332;8;464.189000
332;9;462.393000
342;0;516.122000
342;1;516.402000
342;2;516.411000
342;3;516.290000
342;4;517.668000
342;5;516.397000
342;6;516.176000
342;7;516.286000
342;8;516.597000
342;9;515.791000
